Export MPAN / MSID,Import MPAN / MSID,Customer Name,Customer Site,Address Line 1,Address Line 2,Town/ City,County,Postcode,Country,Location (X-coordinate):_Eastings (where data is held),Location (y-coordinate):_Northings (where data is held),Grid Supply Point,Bulk Supply Point,Primary,Point of Connection (POC)_Voltage (kV),Licence Area,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status,Already connected Registered Capacity (MW),Already Connected - Maximum Export Capacity (MW),Already Connected - Maximum Export Capacity (MVA),Already Connected - Maximum Import Capacity (MW),Already Connected - Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MVA),Accepted to Connect - Change to Maximum Import Capacity (MW),Accepted to Connect - Change to Maximum Import Capacity (MVA),Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,Longitude,Latitude,SpatialCoordinates_Customer,SiteFunctionalLocation,Primary Resource Type_Group
Data not available,,Bluestone Energy Limited,LOWER DUNTON ROAD,,,Upminster,Essex,RM14 3TD,England,566038,186760,TILBURY 132KV TEE POINT,BASILDON GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Energy Storage,Battery,,,,28.0,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,28.0,28.0,29.474,28.0,29.474,2020-06-29,,,,,,,,2020-11-13,0.393631352029182,51.5552929494353,"51.5552929494353,0.393631352029182",EPN-S0000000D7002,Storage
Data not available,,Low carbon,(ANM)Crabbes Farm,,,WOODBRIDGE,SUFFOLK,IP13 9AD,England,631883,260524,BRAMFORD GRID 132kV,WICKHAM MARKET GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,35.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,35.0,35.0,36.842,0.0,0.0,2020-08-21,,,,,,,,2021-02-12,1.39139961167807,52.1941590106096,"52.1941590106096,1.39139961167807",EPN-S0000000D5073,Solar PV
Data not available,,Pathfinder Clean Energy (PACE),(ANM) Land East of Drayton Lane,,,Drayton,Norfolk,NR10 3AG,England,619865,314959,NORWICH MAIN 132kV,SALL GRID 132kV,,132kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,18.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,,,,,,,,Yes,Accepted to Connect,,,,,,,18.0,18.0,18.947,9.0,9.474,2020-09-11,,,,,,,,2021-12-14,1.25167534974757,52.6876697512055,"52.6876697512055,1.25167534974757",EPN-S0000000C5023,Solar PV
Data not available,,RNA Energy Limited,(ANM)THE COMMON,,,DISS,SUFFOLK,IP22 1LL,England,604803,274622,BRAMFORD GRID 132kV,DISS GRID 132/33KV,RICKINGHALL PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,5.0,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,5.0,5.0,5.263,0.1,0.105,2020-10-20,,,,,,,,2021-02-12,1.00435197291254,52.3314461301747,"52.3314461301747,1.00435197291254",EPN-S0000000H1073,Solar PV
Data not available,,Pathfinder Clean Energy (PACE),(ANM) Land South of A47,,,EASTON,NORFOLK,NR9 5DT,England,612964,310190,NORWICH MAIN 132kV,,,132kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,49.5,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,49.5,49.5,52.105,60.0,63.158,2020-10-16,,,,,,,,2021-02-12,1.14665984472926,52.6476174791495,"52.6476174791495,1.14665984472926",EPN-S0000000C7057,Solar PV
Data not available,,Pathfinder Clean Energy (PACE),(ANM) ASHWELL ROAD,,,BALDOCK,Herts,SG7 5RH,England,526705,237848,WYMONDLEY MAIN 132kV,LETCHWORTH GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,40.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,,,,,,,,Yes,Accepted to Connect,,,,,,,40.0,40.0,42.105,8.0,8.421,2020-09-11,,,,,,,,2021-12-14,-0.154724915461627,52.0245878819817,"52.0245878819817,-0.154724915461627",EPN-S0000000D8014,Solar PV
Data not available,,Anesco Limited,BULLEN LANE,,,Ipswich,Suffolk,IP8 4JD,England,612154,246630,BRAMFORD GRID 132kV,,,132kV,Eastern Power Networks (EPN),Battery storage,Battery,,,,49.999,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,49.999,49.999,52.631,49.999,52.631,2020-09-02,,,,,,,,2020-11-13,1.09454886878004,52.0773661759651,"52.0773661759651,1.09454886878004",EPN-S0000000C7057,Storage
Data not available,,Anesco Limited,(ANM) WEIRS DROVE 2,,,Cambridge,Cambs,CB25 0BP,England,558004,266555,BURWELL MAIN GRID 132kV,,,132kV,Eastern Power Networks (EPN),Battery storage,Battery,,,,30.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,30.0,30.0,31.579,30.0,31.579,2020-08-27,,,,,,,,2020-11-13,0.314426270483986,52.2744447503147,"52.2744447503147,0.314426270483986",EPN-S0000000C7057,Storage
Data not available,,Low Carbon,Kingsey Solar Farm,,,Ilmer,BUCKS,HP27 9QX,England,477839,207720,AMERSHAM MAIN 132kV,ILMER GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,30.0,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,30.0,30.0,31.579,,,2020-11-10,,,,,,,,,-0.873526472435437,51.762764002809,"51.762764002809,-0.873526472435437",EPN-S0000000D8077,Solar PV
Data not available,,HVSS,Rayleigh Site,,,Wickford,Essex,SS11 8TZ,England,578288,192005,RAYLEIGH MAIN 132KV,,,132kV,Eastern Power Networks (EPN),Battery storage,Battery,,,,99.8,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,99.8,99.8,105.053,99.8,105.053,2020-09-16,,,,,,,,2020-11-13,0.572807472691426,51.5986699297524,"51.5986699297524,0.572807472691426",EPN-S0000000C7057,Storage
